date,model,horizon,forecast,actual
2011-04-01,AR_ranks,1,-0.04104374680248781,-0.03248043549107423
2011-05-01,RW,1,-0.03248043549107423,-0.03928405197934174
2011-05-01,AR(1) on YoY,1,-0.03110256032933978,-0.03928405197934174
2011-05-01,AR_lags,1,-0.027805261259465034,-0.03928405197934174
2011-05-01,AR+_lags,1,-0.02955271708606905,-0.03928405197934174
2011-05-01,AR_ranks,1,-0.03372776505006993,-0.03928405197934174
2011-06-01,RW,1,-0.03928405197934174,-0.0264132017455454
2011-06-01,AR(1) on YoY,1,-0.03746369971970461,-0.0264132017455454
2011-06-01,AR_lags,1,-0.028858710004489977,-0.0264132017455454
2011-06-01,AR+_lags,1,-0.030031312328278763,-0.0264132017455454
2011-06-01,AR_ranks,1,-0.03211144472933518,-0.0264132017455454
2011-07-01,RW,1,-0.0264132017455454,0.013832050728224132
2011-07-01,AR(1) on YoY,1,-0.0254556476219846,0.013832050728224132
2011-07-01,AR_lags,1,-0.01532297729731406,0.013832050728224132
2011-07-01,AR+_lags,1,-0.016482549464092878,0.013832050728224132
2011-07-01,AR_ranks,1,-0.03826401215423772,0.013832050728224132
2011-08-01,RW,1,0.013832050728224132,0.018427278660126944
2011-08-01,AR(1) on YoY,1,0.012067370818077525,0.018427278660126944
2011-08-01,AR_lags,1,0.019396075026153894,0.018427278660126944
2011-08-01,AR+_lags,1,0.015369826000543043,0.018427278660126944
2011-08-01,AR_ranks,1,-0.018363808695992186,0.018427278660126944
2011-09-01,RW,1,0.018427278660126944,-0.00017772902375738178
2011-09-01,AR(1) on YoY,1,0.016362535247923093,-0.00017772902375738178
2011-09-01,AR_lags,1,0.020528508701797142,-0.00017772902375738178
2011-09-01,AR+_lags,1,0.01881326567401241,-0.00017772902375738178
2011-09-01,AR_ranks,1,0.01657402065098774,-0.00017772902375738178
2011-10-01,RW,1,-0.00017772902375738178,-0.023220168932865565
2011-10-01,AR(1) on YoY,1,-0.0009735622727009656,-0.023220168932865565
2011-10-01,AR_lags,1,-0.028697245821150432,-0.023220168932865565
2011-10-01,AR+_lags,1,-0.025785829792384786,-0.023220168932865565
2011-10-01,AR_ranks,1,0.024098723497238746,-0.023220168932865565
2011-11-01,RW,1,-0.023220168932865565,-0.04629611722538248
2011-11-01,AR(1) on YoY,1,-0.022438650865487995,-0.04629611722538248
2011-11-01,AR_lags,1,-0.03033814141528713,-0.04629611722538248
2011-11-01,AR+_lags,1,-0.026953054395282137,-0.04629611722538248
2011-11-01,AR_ranks,1,0.006516853665010369,-0.04629611722538248
2011-12-01,RW,1,-0.04629611722538248,-0.017699684003291694
2011-12-01,AR(1) on YoY,1,-0.04395529668343377,-0.017699684003291694
2011-12-01,AR_lags,1,-0.0029145522197456153,-0.017699684003291694
2011-12-01,AR+_lags,1,-0.003692351170126072,-0.017699684003291694
2011-12-01,AR_ranks,1,-0.017199831304503414,-0.017699684003291694
2012-01-01,RW,1,-0.017699684003291694,0.007997391721585126
2012-01-01,AR(1) on YoY,1,-0.01730537141277357,0.007997391721585126
2012-01-01,AR_lags,1,-0.02416064036354118,0.007997391721585126
2012-01-01,AR+_lags,1,-0.026353685998407827,0.007997391721585126
2012-01-01,AR_ranks,1,-0.03822072215998132,0.007997391721585126
2012-02-01,RW,1,0.007997391721585126,0.03052802553342726
2012-02-01,AR(1) on YoY,1,0.006613707885848059,0.03052802553342726
2012-02-01,AR_lags,1,-0.00455850355055514,0.03052802553342726
2012-02-01,AR+_lags,1,-0.00659459184775048,0.03052802553342726
2012-02-01,AR_ranks,1,-0.007115423072022765,0.03052802553342726
2012-03-01,RW,1,0.03052802553342726,0.053770786044056905
2012-03-01,AR(1) on YoY,1,0.027603245313090826,0.053770786044056905
2012-03-01,AR_lags,1,0.0030401080980591794,0.053770786044056905
2012-03-01,AR+_lags,1,0.003074646362351969,0.053770786044056905
2012-03-01,AR_ranks,1,0.014595843814984811,0.053770786044056905
2012-04-01,RW,1,0.053770786044056905,0.05043893496428827
2012-04-01,AR(1) on YoY,1,0.04931141021713873,0.05043893496428827
2012-04-01,AR_lags,1,0.024842480453351575,0.05043893496428827
2012-04-01,AR+_lags,1,0.025984870185223795,0.05043893496428827
2012-04-01,AR_ranks,1,0.02734699107128748,0.05043893496428827
2012-05-01,RW,1,0.05043893496428827,0.01773019754045535
2012-05-01,AR(1) on YoY,1,0.046231314734064985,0.01773019754045535
2012-05-01,AR_lags,1,0.07518946476671474,0.01773019754045535
2012-05-01,AR+_lags,1,0.07337342099432798,0.01773019754045535
2012-05-01,AR_ranks,1,0.04075942495317739,0.01773019754045535
2012-06-01,RW,1,0.01773019754045535,-0.013166169325658691
2012-06-01,AR(1) on YoY,1,0.015733309276712022,-0.013166169325658691
2012-06-01,AR_lags,1,0.05157219027638799,-0.013166169325658691
2012-06-01,AR+_lags,1,0.048964798458007414,-0.013166169325658691
2012-06-01,AR_ranks,1,0.03804778664235861,-0.013166169325658691
2012-07-01,RW,1,-0.013166169325658691,-0.04907000531638358
2012-07-01,AR(1) on YoY,1,-0.013001454766219675,-0.04907000531638358
2012-07-01,AR_lags,1,-0.026414980777723248,-0.04907000531638358
2012-07-01,AR+_lags,1,-0.023180372582960847,-0.04907000531638358
2012-07-01,AR_ranks,1,-0.007451207907712358,-0.04907000531638358
2012-08-01,RW,1,-0.04907000531638358,-0.03816137898408437
2012-08-01,AR(1) on YoY,1,-0.046396855611132215,-0.03816137898408437
2012-08-01,AR_lags,1,-0.02313965490224588,-0.03816137898408437
2012-08-01,AR+_lags,1,-0.020689788342562444,-0.03816137898408437
2012-08-01,AR_ranks,1,-0.012097954706676146,-0.03816137898408437
2012-09-01,RW,1,-0.03816137898408437,-0.03058115786486552
2012-09-01,AR(1) on YoY,1,-0.036253917948266115,-0.03058115786486552
2012-09-01,AR_lags,1,-0.029419302748564316,-0.03058115786486552
2012-09-01,AR+_lags,1,-0.03068380311499241,-0.03058115786486552
2012-09-01,AR_ranks,1,-0.04349476959691505,-0.03058115786486552
2012-10-01,RW,1,-0.03058115786486552,-0.038421511412437916
2012-10-01,AR(1) on YoY,1,-0.02921160733327585,-0.038421511412437916
2012-10-01,AR_lags,1,-0.03179451533859935,-0.038421511412437916
2012-10-01,AR+_lags,1,-0.031940395679156894,-0.038421511412437916
2012-10-01,AR_ranks,1,-0.042520359585030226,-0.038421511412437916
2012-11-01,RW,1,-0.038421511412437916,-0.01300434166918348
2012-11-01,AR(1) on YoY,1,-0.03651209455077746,-0.01300434166918348
2012-11-01,AR_lags,1,-0.0029855728173039152,-0.01300434166918348
2012-11-01,AR+_lags,1,-0.004263946037850229,-0.01300434166918348
2012-11-01,AR_ranks,1,-0.04028834712510067,-0.01300434166918348
2012-12-01,RW,1,-0.01300434166918348,-0.022392311196976305
2012-12-01,AR(1) on YoY,1,-0.012886450881804965,-0.022392311196976305
2012-12-01,AR_lags,1,-0.02188974649089124,-0.022392311196976305
2012-12-01,AR+_lags,1,-0.024419847016390734,-0.022392311196976305
2012-12-01,AR_ranks,1,-0.039423719292476817,-0.022392311196976305
2013-01-01,RW,1,-0.022392311196976305,-0.024815098939331055
2013-01-01,AR(1) on YoY,1,-0.02160938257413428,-0.024815098939331055
2013-01-01,AR_lags,1,-0.040957996965975685,-0.024815098939331055
